Ref,Val,Package,PosX,PosY,Rot,Side
"D1","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal","123.8250","-111.7600","270.0000","top"
"D2","LED","LED_D5.0mm","139.7000","-106.6800","180.0000","top"
"J1","Capacitive Sensor","PinHeader_1x03_P2.54mm_Vertical","135.2550","-146.0500","270.0000","top"
"J2","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical","123.8250","-134.6200","0.0000","top"
"J3","Serial","PinHeader_1x04_P2.54mm_Vertical","141.6050","-109.2200","0.0000","top"
"J4","Screw_Terminal_01x04","TerminalBlock_TE_282834-4_1x04_P2.54mm_Horizontal","133.3500","-106.6800","180.0000","top"
"J5","Resistive Sensor","PinHeader_1x04_P2.54mm_Vertical","136.5250","-149.2250","270.0000","top"
"JP1","NO","SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","133.9850","-114.3000","90.0000","top"
"K1","G5V-1","Relay_SPDT_Omron_G5V-1","127.6350","-116.8400","90.0000","top"
"LOGO1","Logo_Open_Hardware_Small","OSHW-Symbol_6.7x6mm_SilkScreen","137.7950","-142.2400","90.0000","bottom"
"LOGO2","Logo_Open_Hardware_Small","KiCad-Logo_6mm_SilkScreen","131.4450","-135.2550","90.0000","bottom"
"Q1","BC547","TO-92_Inline","135.8900","-120.6500","180.0000","top"
"Q3","BC547","TO-92_Inline","130.1750","-120.6500","180.0000","top"
"R1","10k","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","123.8250","-129.5400","90.0000","top"
"R2","10k","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","141.6050","-137.1600","270.0000","top"
"R3","10k","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","141.6050","-129.5400","270.0000","top"
"R4","100","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","139.0650","-127.0000","90.0000","top"
"TP1","CLK","TestPoint_Pad_D1.5mm","141.6050","-127.0000","0.0000","top"
"TP2","MISO","TestPoint_Pad_D1.5mm","141.6050","-124.4600","0.0000","top"
"TP3","MOSI","TestPoint_Pad_D1.5mm","141.6050","-121.9200","0.0000","top"
"TP4","CS","TestPoint_Pad_D1.5mm","141.6050","-119.3800","0.0000","top"
"U1","NodeMCU1.0(ESP-12E)","NodeMCU_Amica","121.2850","-144.7800","0.0000","bottom"
"U2","TSOP17xx","Vishay_CAST-3Pin","133.3500","-106.6800","180.0000","top"
"U4","DHT11","PinSocket_1x04_P2.54mm_Vertical","135.8900","-125.7300","270.0000","top"
