Component;Description;Part;References;Value;Footprint;Quantity Per PCB;Datasheet;variant;distributor;part number
1;100V 0.15A standard switching diode, DO-35;1N4148;D1;1N4148;D_DO-35_SOD27_P7.62mm_Horizontal;1;http://www.nxp.com/documents/data_sheet/1N4148_1N4448.pdf;+PIS,-IR;;
2;Light emitting diode;LED;D2;LED;LED_D5.0mm;1;~;;;
3;Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/);Conn_01x03;J1 J2;Capacitive Sensor;PinHeader_1x03_P2.54mm_Vertical;2;~;+PIS,-IR;;
4;Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/);Conn_01x04;J5;Resistive Sensor;PinHeader_1x04_P2.54mm_Vertical;1;~;+PIS,-IR;;
5;Generic screw terminal, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/);Screw_Terminal_01x04;J4;Screw_Terminal_01x04;TerminalBlock_TE_282834-4_1x04_P2.54mm_Horizontal;1;~;+PIS,-IR;;
6;Ultra-miniature, Highly Sensitive SPDT Relay for Signal Circuits;G5V-1;K1;G5V-1;Relay_SPDT_Omron_G5V-1;1;http://omronfs.omron.com/en_US/ecb/products/pdf/en-g5v_1.pdf;+PIS,-IR;;
7;0.1A Ic, 45V Vce, Small Signal NPN Transistor, TO-92;BC547;Q1 Q3;BC547;TO-92_Inline;2;http://www.fairchildsemi.com/ds/BC/BC547.pdf;+PIS,-IR;DigiKey;BC547-ND
8;Resistor;R;R4;100;R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal;1;~;;;
9;Resistor;R;R1 R2 R3;10k;R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal;3;~;+PIS,-IR;;
10;Temperature and humidity module;DHT11;U4;DHT11;PinSocket_1x04_P2.54mm_Vertical;1;http://akizukidenshi.com/download/ds/aosong/DHT11.pdf;+PIS,-IR;DigiKey;1528-1228-ND
